Date,EURBRL
05/09/2009,"2,63126916"
07/09/2009,"2,63698534"
08/09/2009,"2,64360267"
09/09/2009,"2,6708292"
10/09/2009,"2,6475464"
11/09/2009,"2,63661215"
14/09/2009,"2,6553332"
15/09/2009,"2,6458812"
16/09/2009,"2,64196548"
17/09/2009,"2,66248094"
18/09/2009,"2,65637834"
19/09/2009,"2,6553618"
20/09/2009,"2,58652286"
21/09/2009,"2,59034526"
22/09/2009,"2,6700627"
23/09/2009,"2,63289306"
24/09/2009,"2,5688775"
25/09/2009,"2,6411119"
26/09/2009,"2,56961543"
27/09/2009,"2,57434124"
28/09/2009,"2,54595473"
29/09/2009,"2,60426678"
30/09/2009,"2,59665813"
01/10/2009,"2,58291144"
02/10/2009,"2,59470354"
03/10/2009,"2,59470354"
04/10/2009,"2,53027134"
05/10/2009,"2,59179731"
06/10/2009,"2,571584"
07/10/2009,"2,58730976"
08/10/2009,"2,5673736"
09/10/2009,"2,55928456"
10/10/2009,"2,4829875"
11/10/2009,"2,48383125"
12/10/2009,"2,57284233"
13/10/2009,"2,56766464"
14/10/2009,"2,54334654"
15/10/2009,"2,5444231"
16/10/2009,"2,54064198"
17/10/2009,"2,4867789"
18/10/2009,"2,47149335"
19/10/2009,"2,55441789"
20/10/2009,"2,6164825"
21/10/2009,"2,59812684"
22/10/2009,"2,59332516"
23/10/2009,"2,57280008"
26/10/2009,"2,54916406"
27/10/2009,"2,5666508"
28/10/2009,"2,58112988"
29/10/2009,"2,5714254"
30/10/2009,"2,58022622"
31/10/2009,"2,51070534"
02/11/2009,"2,60087768"
03/11/2009,"2,56358245"
04/11/2009,"2,5521488"
05/11/2009,"2,55924375"
06/11/2009,"2,5452084"
09/11/2009,"2,54752916"
10/11/2009,"2,56057087"
11/11/2009,"2,57253732"
12/11/2009,"2,57523798"
13/11/2009,"2,56838302"
16/11/2009,"2,558584"
17/11/2009,"2,543625"
18/11/2009,"2,5655916"
19/11/2009,"2,579949"
20/11/2009,"2,5747922"
23/11/2009,"2,5821534"
24/11/2009,"2,5865506"
25/11/2009,"2,6183106"
26/11/2009,"2,62222149"
27/11/2009,"2,61078775"
30/11/2009,"2,62784172"
01/12/2009,"2,60173156"
02/12/2009,"2,5871756"
03/12/2009,"2,5667352"
04/12/2009,"2,5568426"
07/12/2009,"2,5578988"
08/12/2009,"2,56679115"
09/12/2009,"2,59397808"
10/12/2009,"2,60623719"
11/12/2009,"2,57110056"
14/12/2009,"2,55656475"
15/12/2009,"2,5453724"
16/12/2009,"2,53324689"
17/12/2009,"2,56764826"
18/12/2009,"2,5625556"
21/12/2009,"2,5421937"
22/12/2009,"2,53646388"
23/12/2009,"2,52511025"
24/12/2009,"2,48336816"
28/12/2009,"2,4949792"
29/12/2009,"2,4895976"
30/12/2009,"2,4933782"
31/12/2009,"2,49249"
04/01/2010,"2,4791418"
05/01/2010,"2,4945057"
06/01/2010,"2,4930137"
07/01/2010,"2,48923535"
08/01/2010,"2,4954656"
11/01/2010,"2,5115079"
12/01/2010,"2,51474175"
13/01/2010,"2,53539598"
14/01/2010,"2,55741577"
15/01/2010,"2,53826584"
18/01/2010,"2,53985732"
19/01/2010,"2,53302534"
20/01/2010,"2,5249845"
21/01/2010,"2,53840768"
22/01/2010,"2,57123756"
25/01/2010,"2,5229391"
26/01/2010,"2,58097536"
27/01/2010,"2,59480384"
28/01/2010,"2,60862464"
29/01/2010,"2,59602669"
01/02/2010,"2,59320576"
02/02/2010,"2,55761792"
03/02/2010,"2,571315"
04/02/2010,"2,58423372"
05/02/2010,"2,57459225"
08/02/2010,"2,5553461"
09/02/2010,"2,539654"
10/02/2010,"2,54420488"
11/02/2010,"2,5332223"
12/02/2010,"2,5338789"
15/02/2010,"2,51771886"
16/02/2010,"2,53583275"
17/02/2010,"2,4934299"
18/02/2010,"2,4487378"
19/02/2010,"2,4549242"
22/02/2010,"2,45891616"
23/02/2010,"2,46082704"
24/02/2010,"2,46256626"
25/02/2010,"2,485026"
26/02/2010,"2,4603138"
01/03/2010,"2,43837568"
02/03/2010,"2,35914525"
03/03/2010,"2,4493812"
04/03/2010,"2,428783"
05/03/2010,"2,4218138"
08/03/2010,"2,43004752"
09/03/2010,"2,4226943"
10/03/2010,"2,4117288"
